Section,Pattern,Period,Jugglers,Objects,Passes,Link
,3 3p 3p 2 0 1,6,2,4,2,http://prech.ac/2:33p3p201
,3 3p 3p 1 2 0,6,2,4,2,http://prech.ac/2:33p3p120
,3 1p 3p 1 2 2,6,2,4,2,http://prech.ac/2:31p3p122
,3 1p 3p 1 3 1,6,2,4,2,http://prech.ac/2:31p3p131
,3 2p 3 1 1p 2,6,2,4,2,http://prech.ac/2:32p311p2
,3 3p 0 3 1 2p,6,2,4,2,http://prech.ac/2:33p0312p
,3p 3p 3p 0 1 2p,6,2,4,4,http://prech.ac/2:3p3p3p012p
,4 0 3p 2 2 1p,6,2,4,2,http://prech.ac/2:403p221p
,4 1p 2p 0 2 3,6,2,4,2,http://prech.ac/2:41p2p023
,4p 1 1 2 3p 1,6,2,4,2,http://prech.ac/2:4p1123p1
,4 1p 1 2p 3 1,6,2,4,2,http://prech.ac/2:41p12p31
"Section: 2 Jugglers, 4 Objects, Period 6, 6 Passes",,,,,,
,3p 1p 2p 2p 3p 1p,6,2,4,6,http://prech.ac/2:3p1p2p2p3p1p
"Section: 1 to 17 Balls, Table Patterns",,,,,,
,0.5p,1,2,1,1,http://prech.ac/2:0.5p
,0.5p 1.5p 1,3,2,2,2,http://prech.ac/2:0.5p1.5p1
,0.5p 1.5p 4,3,2,4,2,http://prech.ac/2:0.5p1.5p4
,0.5p 0.5p 2,3,2,2,2,http://prech.ac/2:0.5p0.5p2
,4p 2 3 1,4,2,5,1,http://prech.ac/2:4p231
,2.5p 2.5p 3.5p 1 3,5,2,5,3,http://prech.ac/2:2.5p2.5p3.5p13
,1p 2p 3p 4p 5p 5p 1 2 3 4,10,2,6,6,http://prech.ac/2:1p2p3p4p5p5p1234
,0.5p 1.5p 2.5p,3,2,3,3,http://prech.ac/2:0.5p1.5p2.5p
,1.5p 2.5p 3.5p,3,2,5,3,http://prech.ac/2:1.5p2.5p3.5p
,2.5p 3.5p 4.5p,3,2,7,3,http://prech.ac/2:2.5p3.5p4.5p
,3.5p 4.5p 5.5p,3,2,9,3,http://prech.ac/2:3.5p4.5p5.5p
,15.5p 1 6.5p 7 15,5,2,18,2,"http://prechacthis.org/info.php?pattern=[p(15.5,1,18),p(1,0,1),p(6.5,1,9),p(7,0,7),p(15,0,15)]&persons=2&swap=[]&back=persons%3D2%26amp%3Bobjects%3D18%26amp%3Blengths%3D5%26amp%3Bmax%3D16%26amp%3Bpassesmin%3D2%26amp%3Bpassesmax%3D2%26amp%3Bjugglerdoes%3D15.5p%2B1%2B6.5p%2B7%2B15%26amp%3Bexclude%3D%26amp%3Bclubdoes%3D%26amp%3Breact%3D%26amp%3Bresults%3D"
,6.5p 7 5 3 1,5,2,9,1,http://prech.ac/2:6.5p7531
,28 2p 2p 2p,4,2,17,3,"http://prechacthis.org/info.php?pattern=[p(28,0,28),p(2,1,4),p(2,1,4),p(2,1,4)]&persons=2&swap=[]&back=persons%3D2%26amp%3Bobjects%3D17%26amp%3Blengths%3D4%26amp%3Bmax%3D1%26amp%3Bpassesmin%3D3%26amp%3Bpassesmax%3D3%26amp%3Bjugglerdoes%3D28%2B2p%2B2p%2B2p%26amp%3Bexclude%3D%26amp%3Bclubdoes%3D%26amp%3Breact%3D%26amp%3Bresults%3D42"
,1 1p 11 1 1 2p 4 2 15p 2p,10,2,8,4,"http://prechacthis.org/info.php?pattern=[p(15,1,20),p(2,1,7),p(1,0,1),p(1,1,6),p(11,0,11),p(1,0,1),p(1,0,1),p(2,1,7),p(4,0,4),p(2,0,2)]&persons=2&swap=[]&back=persons%3D2%26amp%3Bobjects%3D8%26amp%3Blengths%3D10%26amp%3Bmax%3D11%26amp%3Bpassesmin%3D4%26amp%3Bpassesmax%3D4%26amp%3Bjugglerdoes%3D1%2B1p%2B11%2B1%2B1%2B2p%2B4%2B2%2B15p%2B2p%26amp%3Bexclude%3D%26amp%3Bclubdoes%3D%26amp%3Breact%3D%26amp%3Bresults%3D42"
"Section: 2 Jugglers, 5 Objects, Others",,,,,,
,2.5p,1,2,5,1,http://prech.ac/2:2.5p
,3 3 3 3p 2 2 2 2,8,2,5,1,http://prech.ac/2:3333p2222
"Section: 5 Objects, French Section",,,,,,
,3 3p 3 1,4,2,5,1,http://prech.ac/2:33p31
,3 3pb 3 1,4,2,5,1,http://prech.ac/2:33pb31
,3b 3p 3 1,4,2,5,1,http://prech.ac/2:3b3p31
,3 3p 3b 1,4,2,5,1,http://prech.ac/2:33p3b1
,3b 3pb 3b 1,4,2,5,1,http://prech.ac/2:3b3pb3b1
,3p 3p 3p 1 1 4,6,2,5,3,http://prech.ac/2:3p3p3p114
,3p 4p 2p 1 1 4,6,2,5,3,http://prech.ac/2:3p4p2p114
,4p 2p 3p 1 1 4,6,2,5,3,http://prech.ac/2:4p2p3p114
,4p 4p 1p 1 1 4,6,2,5,3,http://prech.ac/2:4p4p1p114
,3 3p 2 2,4,2,5,1,http://prech.ac/2:33p22
,3 3p 3 1,4,2,5,1,http://prech.ac/2:33p31
,4p 3 1 2,4,2,5,1,http://prech.ac/2:4p312
,4p 4 1 1,4,2,5,1,http://prech.ac/2:4p411
,3 3 2p 2,4,2,5,1,http://prech.ac/2:332p2
,3 4 2p 1,4,2,5,1,http://prech.ac/2:342p1
,4 2 2p 2,4,2,5,1,http://prech.ac/2:422p2
,4p 4p 4p 1 1 1,6,2,5,3,http://prech.ac/2:4p4p4p111
,5p 3p 4p 1 1 1,6,2,5,3,http://prech.ac/2:5p3p4p111
,3 3 3 1p,4,2,5,1,http://prech.ac/2:3331p
,4 2 3 1p,4,2,5,1,http://prech.ac/2:4231p
,3 4 2 1p,4,2,5,1,http://prech.ac/2:3421p
,4 4 1 1p,4,2,5,1,http://prech.ac/2:4411p
"Section: 3 Jugglers, 4 to 15 Objects",,,,,,
,2 1p 1,3,3,4,1,http://prech.ac/3:21p1
,2p 2 0,3,3,4,1,http://prech.ac/3:2p20
,2p 1 1,3,3,4,1,http://prech.ac/3:2p11
,3 2p 2p 3p 1 1p,6,3,6,4,http://prech.ac/3:32p2p3p11p
,2p 1p 0,3,3,3,2,http://prech.ac/3:2p1p0
,2p 1p 3,3,3,6,2,http://prech.ac/3:2p1p3
,3 2p 2,3,3,7,1,http://prech.ac/3:32p2
,2.6p 1 1.6p 2 3 1.6p 2.3p 1.6p,8,3,6,5,http://prech.ac/3:2.6p11.6p231.6p2.3p1.6p
,3.6p 3,2,3,10,1,http://prech.ac/3:3.6p3
,4p 3 3,3,3,10,1,http://prech.ac/3:4p33
,4.3p 3,2,3,11,1,http://prech.ac/3:4.3p3
,5p 3,2,3,12,1,
,6.3p 3,2,3,14,1,http://prech.ac/3:6.3p3
,5p 5,2,3,15,1,
"Section: 2 Jugglers, 5 Objects, Period 3 & 5",,,,,,
,3 2.5p 2,3,2,5,1,http://prech.ac/2:32.5p2
,4 3.5p 0,3,2,5,1,http://prech.ac/2:43.5p0
,3.5p 3 3 1.5p 1.5p ,5,2,5,3,http://prech.ac/2:3.5p331.5p1.5p
"Section: 2 Jugglers, 5 Objects, Period 4",,,,,,
,3 3 3 1p,4,2,5,1,http://prech.ac/2:3331p
,3 3 2p 2,4,2,5,1,http://prech.ac/2:332p2
,4p 2 2 2,4,2,5,1,http://prech.ac/2:4p222
,4 2p 1 3,4,2,5,1,http://prech.ac/2:42p13
,4 2 1p 3,4,2,5,1,http://prech.ac/2:421p3
,4 3p 3 0,4,2,5,1,http://prech.ac/2:43p30
,4 3p 1 2,4,2,5,1,http://prech.ac/2:43p12
,4p 3 1 2,4,2,5,1,http://prech.ac/2:4p312
,4p 4 1 1,4,2,5,1,http://prech.ac/2:4p411
,4 4 1 1p,4,2,5,1,http://prech.ac/2:4411p
,5 3 1 1p,4,2,5,1,http://prech.ac/2:5311p
,5p 1 3 1,4,2,5,1,http://prech.ac/2:5p131
,5 1 3p 1,4,2,5,1,http://prech.ac/2:513p1
,5 3p 1 1,4,2,5,1,http://prech.ac/2:53p11
,5 1 4p 0,4,2,5,1,http://prech.ac/2:514p0
,5p 3 0 2,4,2,5,1,http://prech.ac/2:5p302
,5 4p 0 1,4,2,5,1,http://prech.ac/2:54p01
,5p 4 0 1,4,2,5,1,http://prech.ac/2:5p401
,8 1 1p 0,4,2,5,1,http://prech.ac/2:811p0
"Section: 6 Jugglers, 12 Objects",,,,,,
,4 2p 1 1p,4,6,12,2,http://prech.ac/6:42p11p
"Section: 3 & 4 Jugglers, Feeds Patterns",,,,,,
,3p 0 fed by 3p,2 & 1,3,6,,
,2 1p fed by 1p,2 & 1,3,4,,
,2p 1 fed by 2p,2 & 1,3,5,,
,2p 1 fed by 2p,2 & 1,4,7,,
,4 2 3 2p 3 1 fed by 2p 3 1,6 & 3,3,7,,
,4 2 3 2p 3 4p fed by 2p 3 4p,6 & 3,3,9,,
,4 0 2 0 3p 0 fed by 4 2 3p,6 & 3,3,6,,
,4 0 2 0 3p 0 fed by 4 2 3p,6 & 3,4,9,,
,[lots of numbers],,,,,
"Section: 2 Jugglers, 5 Objects, Period 4 & 6, 3 Passes",,,,,,
,0 0 2p 2p,4,2,2,2,http://prech.ac/2:002p2p
,3p 3 0 0,4,2,3,1,http://prech.ac/2:3p300
,3p 3 0 2p,4,2,4,2,http://prech.ac/2:3p302p
,3p 3 2p 2p,4,2,5,3,http://prech.ac/2:3p32p2p
,4 3p 1p 2p,4,2,5,3,http://prech.ac/2:43p1p2p
,4p 1 1 3 3p 3p,6,2,5,3,http://prech.ac/2:4p1133p3p
,3p 2 3 2p 3 2p,6,2,5,3,http://prech.ac/2:3p232p32p
,3 3p 3 3 1p 2p,6,2,5,3,http://prech.ac/2:33p331p2p
,3 3 2p 3 1p 3p,6,2,5,3,http://prech.ac/2:332p31p3p
,4 3p 3p 3p 1 1,6,2,5,3,http://prech.ac/2:43p3p3p11
"Section: 2 Jugglers, 5 Objects, Period 6",,,,,,
,3 3 3 3 1p 2,6,2,5,1,http://prech.ac/2:33331p2
,4 1p 1 3 3 3,6,2,5,1,http://prech.ac/2:41p1333
,4 1p 1 4 4 1,6,2,5,1,http://prech.ac/2:41p1441
,4 1 3 3p 3 1,6,2,5,1,http://prech.ac/2:4133p31
,4 2 3 2p 2 2,6,2,5,1,http://prech.ac/2:4232p22
,4 2 3 2p 3 1,6,2,5,1,http://prech.ac/2:4232p31
,4 3p 1 3 1 3,6,2,5,1,http://prech.ac/2:43p1313
,5 3 1 1p 2 3,6,2,5,1,http://prech.ac/2:5311p23
"Section: 3 Jugglers, Weaves Patterns",,,,,,
,3 3 3 3p 2 2 2 2,8,2,5,1,http://prech.ac/2:3333p2222
,3 3 3p 2 2 2 2 2 2,9,3,7,1,http://prech.ac/3:333p222222
,3 3 3 3 1p 2 2 2 2,9,3,7,1,http://prech.ac/3:33331p2222
